cell_name,x,y,width,height,fixed,row_index
NOR2_3,4.2587,0,0.57,1.4,0,0
NOR2_0,5.22916,2.8,0.57,1.4,0,2
NAND2_0,3.35088,0,0.57,1.4,0,0
OR2_1,0.875612,0,0.76,1.4,0,0
NOR2_2,0.732337,5.6,0.57,1.4,0,4
OR2_0,0.0770365,0,0.76,1.4,0,0
G0,5.62231,1.4,0.38,1.4,0,1
NOT_0,5.543,5.6,0.38,1.4,0,4
NOR2_1,2.3622,0,0.57,1.4,0,0
VDD,0,4.2,0.38,1.4,0,3
G3,1.81194,0,0.38,1.4,0,0
AND2_0,5.1365,0,0.76,1.4,0,0
G2,0.187655,5.6,0.38,1.4,0,4
G17,4.04645,2.8,0.38,1.4,0,2
DFF_0,0,2.8,3.23,1.4,0,2
DFF_1,2.1527,5.6,3.23,1.4,0,4
DFF_2,1.84195,1.4,3.23,1.4,0,1
CK,4.79985,2.8,0.38,1.4,0,2
G1,0.475239,1.4,0.38,1.4,0,1
NOT_1,1.50454,5.6,0.38,1.4,0,4
