cell_name,x,y,width,height,fixed
VDD,10.3672,11.6259,0.38,1.4,0
CK,10.8902,7.8772,0.38,1.4,0
START,3.23276,7.83021,0.38,1.4,0
B0,3.84072,1.99839,0.38,1.4,0
B1,4.04053,5.23432,0.38,1.4,0
B2,13.9656,13.7453,0.38,1.4,0
B3,3.5081,2.09987,0.38,1.4,0
A0,11.8867,13.6565,0.38,1.4,0
A1,0.0521943,10.0004,0.38,1.4,0
A2,9.13965,13.9007,0.38,1.4,0
A3,16.91,1.80159,0.38,1.4,0
P4,7.86341,13.233,0.38,1.4,0
P5,8.98362,10.6388,0.38,1.4,0
P6,9.19757,6.3037,0.38,1.4,0
P7,12.0301,7.4399,0.38,1.4,0
P0,11.5581,6.94725,0.38,1.4,0
P1,8.45912,3.76246,0.38,1.4,0
P2,13.4279,11.908,0.38,1.4,0
P3,10.3625,4.78043,0.38,1.4,0
CNTVCON2,0.290311,6.96742,0.38,1.4,0
CNTVCO2,7.25641,14.8322,0.38,1.4,0
READY,1.55707,8.54455,0.38,1.4,0
DFF_0,7.01057,7.4007,3.23,1.4,0
DFF_1,6.14151,9.81769,3.23,1.4,0
DFF_2,4.16702,8.67153,3.23,1.4,0
DFF_3,1.03407,9.52805,3.23,1.4,0
DFF_4,8.88776,0,3.23,1.4,0
DFF_5,4.10974,0.480371,3.23,1.4,0
DFF_6,8.81625,0,3.23,1.4,0
DFF_7,11.5854,10.0049,3.23,1.4,0
DFF_8,4.44193,11.9941,3.23,1.4,0
DFF_9,2.3862,3.35585,3.23,1.4,0
DFF_10,11.3897,11.3455,3.23,1.4,0
DFF_11,6.44875,0,3.23,1.4,0
DFF_12,3.06299,7.3486,3.23,1.4,0
DFF_13,8.60984,8.81334,3.23,1.4,0
DFF_14,8.04761,11.6302,3.23,1.4,0
NOT_0,6.24705,15.081,0.38,1.4,0
NOT_1,15.005,8.70383,0.38,1.4,0
NOT_2,11.5718,5.95455,0.38,1.4,0
NOT_3,16.91,5.1849,0.38,1.4,0
NOT_4,3.8035,10.4373,0.38,1.4,0
NOT_5,13.2245,13.4031,0.38,1.4,0
NOT_6,0.0438007,10.2734,0.38,1.4,0
NOT_7,5.3958,2.7624,0.38,1.4,0
NOT_8,14.7957,7.60024,0.38,1.4,0
NOT_9,14.7868,12.2205,0.38,1.4,0
NOT_10,7.03437,4.89917,0.38,1.4,0
NOT_11,0,7.11973,0.38,1.4,0
NOT_12,14.4864,8.9084,0.38,1.4,0
NOT_13,5.46583,10.2652,0.38,1.4,0
NOT_14,0,12.2111,0.38,1.4,0
NOT_15,11.0009,10.2136,0.38,1.4,0
NOT_16,0,8.54764,0.38,1.4,0
NOT_17,12.1079,6.96507,0.38,1.4,0
NOT_18,13.7686,0,0.38,1.4,0
NOT_19,6.18185,14.0257,0.38,1.4,0
NOT_20,0,10.4285,0.38,1.4,0
NOT_21,11.3044,13.1045,0.38,1.4,0
NOT_22,6.87696,15.1417,0.38,1.4,0
NOT_23,15.1407,10.5295,0.38,1.4,0
NOT_24,7.0998,4.34695,0.38,1.4,0
NOT_25,7.71273,0,0.38,1.4,0
NOT_26,5.94253,15.081,0.38,1.4,0
NOT_27,2.58525,5.89051,0.38,1.4,0
NOT_28,2.06767,3.80747,0.38,1.4,0
NOT_29,12.3354,13.5686,0.38,1.4,0
NOT_30,7.61257,6.2481,0.38,1.4,0
NOT_31,3.99451,1.63691,0.38,1.4,0
NOT_32,8.02877,6.24033,0.38,1.4,0
NOT_33,10.2096,6.81125,0.38,1.4,0
NOT_34,11.9942,12.1531,0.38,1.4,0
NOT_35,6.077,4.92935,0.38,1.4,0
NOT_36,11.3032,0,0.38,1.4,0
NOT_37,7.70816,14.0034,0.38,1.4,0
NOT_38,0,11.1937,0.38,1.4,0
NOT_39,3.71048,4.41648,0.38,1.4,0
NOT_40,0,12.7828,0.38,1.4,0
NOT_41,16.91,1.80159,0.38,1.4,0
NOT_42,13.1031,0,0.38,1.4,0
NOT_43,12.4802,8.07352,0.38,1.4,0
NOT_44,12.2797,0,0.38,1.4,0
NOT_45,9.68454,4.63168,0.38,1.4,0
NOT_46,1.48846,16.8,0.38,1.4,0
NOT_47,2.45751,4.85324,0.38,1.4,0
NOT_48,0,14.0741,0.38,1.4,0
NOT_49,9.89788,12.7173,0.38,1.4,0
NOT_50,0,15.1637,0.38,1.4,0
NOT_51,10.4946,9.78504,0.38,1.4,0
NOT_52,3.67644,16.8,0.38,1.4,0
NOT_53,16.91,3.79379,0.38,1.4,0
NOT_54,4.66885,6.24995,0.38,1.4,0
NOT_55,16.91,2.76839,0.38,1.4,0
NOT_56,16.91,0,0.38,1.4,0
NOT_57,7.0101,3.20145,0.38,1.4,0
NOT_58,0,15.0767,0.38,1.4,0
AND2_0,0.00728257,12.1681,0.76,1.4,0
AND2_1,14.5773,0,0.76,1.4,0
AND2_2,12.4418,0,0.76,1.4,0
AND2_3,8.16381,13.0128,0.76,1.4,0
AND2_4,13.1829,8.83099,0.76,1.4,0
AND2_5,3.72063,12.6631,0.76,1.4,0
AND2_6,0.10122,8.1637,0.76,1.4,0
AND2_7,2.62101,10.5352,0.76,1.4,0
AND2_8,0,16.8,0.76,1.4,0
AND2_9,15.7713,0,0.76,1.4,0
AND2_10,15.6162,0,0.76,1.4,0
AND2_11,1.40533,2.25918,0.76,1.4,0
AND2_12,6.87471,13.4949,0.76,1.4,0
AND2_13,9.91045,3.77192,0.76,1.4,0
AND2_14,14.2437,5.58212,0.76,1.4,0
AND2_15,13.8364,0,0.76,1.4,0
AND2_16,5.99809,13.5073,0.76,1.4,0
AND2_17,6.27131,4.03373,0.76,1.4,0
AND2_18,16.1836,6.56506,0.76,1.4,0
AND2_19,0,5.12942,0.76,1.4,0
AND2_20,1.24087,12.7935,0.76,1.4,0
AND2_21,1.93507,16.8,0.76,1.4,0
AND2_22,8.12043,4.86402,0.76,1.4,0
AND2_23,3.45141,13.9499,0.76,1.4,0
AND2_24,14.0394,4.51981,0.76,1.4,0
AND2_25,13.1551,0,0.76,1.4,0
AND3_0,2.75081,11.8081,0.76,1.4,0
AND2_26,3.68823,15.8523,0.76,1.4,0
AND2_27,11.3869,14.9021,0.76,1.4,0
AND2_28,10.8534,7.11175,0.76,1.4,0
AND2_29,16.4925,0,0.76,1.4,0
AND2_30,2.31605,12.7482,0.76,1.4,0
AND2_31,4.96578,4.60683,0.76,1.4,0
AND2_32,1.05999,16.8,0.76,1.4,0
AND3_1,2.68027,16.8,0.76,1.4,0
AND2_33,6.74528,0,0.76,1.4,0
AND2_34,0.29382,15.1561,0.76,1.4,0
AND2_35,15.1377,0,0.76,1.4,0
AND3_2,14.269,6.55537,0.76,1.4,0
