cell_name,x,y,width,height,fixed,algorithm
NOR2_26,5.13,15.4,0.57,1.4,0,Abacus
NOR2_25,1.71,16.8,0.57,1.4,0,Abacus
NOR2_23,0.76,14,0.57,1.4,0,Abacus
NOR2_21,5.7,15.4,0.57,1.4,0,Abacus
NOR2_20,15.39,2.8,0.57,1.4,0,Abacus
NOR2_18,14.06,0,0.57,1.4,0,Abacus
NOR2_17,4.56,15.4,0.57,1.4,0,Abacus
NOR2_16,3.04,1.4,0.57,1.4,0,Abacus
NOR2_24,1.52,11.2,0.57,1.4,0,Abacus
NOR2_14,3.23,12.6,0.57,1.4,0,Abacus
NOR2_12,0.95,5.6,0.57,1.4,0,Abacus
NOR2_5,3.99,15.4,0.57,1.4,0,Abacus
NOR2_4,16.72,1.4,0.57,1.4,0,Abacus
NAND2_16,11.21,4.2,0.57,1.4,0,Abacus
NOR2_1,14.06,4.2,0.57,1.4,0,Abacus
NAND2_14,8.17,14,0.57,1.4,0,Abacus
NOR2_9,15.77,7,0.57,1.4,0,Abacus
NAND2_12,0.38,8.4,0.57,1.4,0,Abacus
NAND2_11,9.12,15.4,0.57,1.4,0,Abacus
NAND2_9,2.28,15.4,0.57,1.4,0,Abacus
NAND2_7,3.99,5.6,0.57,1.4,0,Abacus
NAND2_5,9.5,12.6,0.57,1.4,0,Abacus
NAND2_4,9.12,9.8,0.57,1.4,0,Abacus
NAND2_3,8.74,14,0.57,1.4,0,Abacus
NAND2_2,10.07,14,0.57,1.4,0,Abacus
NAND2_1,4.94,5.6,0.57,1.4,0,Abacus
NAND2_0,8.93,5.6,0.57,1.4,0,Abacus
OR3_2,2.85,14,0.76,1.4,0,Abacus
OR3_1,9.5,5.6,0.76,1.4,0,Abacus
OR3_0,15.01,7,0.76,1.4,0,Abacus
OR2_5,9.12,4.2,0.76,1.4,0,Abacus
OR2_4,3.23,5.6,0.76,1.4,0,Abacus
OR2_3,4.37,9.8,0.76,1.4,0,Abacus
OR2_2,7.03,14,0.76,1.4,0,Abacus
OR2_1,13.68,7,0.76,1.4,0,Abacus
AND2_40,0.76,15.4,0.76,1.4,0,Abacus
AND2_39,11.4,2.8,0.76,1.4,0,Abacus
AND2_38,15.96,1.4,0.76,1.4,0,Abacus
AND2_37,14.63,4.2,0.76,1.4,0,Abacus
AND3_2,11.02,5.6,0.76,1.4,0,Abacus
AND2_32,0.95,16.8,0.76,1.4,0,Abacus
AND2_31,6.84,2.8,0.76,1.4,0,Abacus
NOR2_13,5.89,5.6,0.57,1.4,0,Abacus
AND2_30,2.47,12.6,0.76,1.4,0,Abacus
NOT_16,0,7,0.38,1.4,0,Abacus
START,4.18,8.4,0.38,1.4,0,Abacus
NOT_49,7.79,12.6,0.38,1.4,0,Abacus
NOT_13,4.56,8.4,0.38,1.4,0,Abacus
AND2_14,10.26,5.6,0.76,1.4,0,Abacus
NOT_12,13.3,8.4,0.38,1.4,0,Abacus
NOT_0,5.13,14,0.38,1.4,0,Abacus
NOT_11,0,5.6,0.38,1.4,0,Abacus
NOT_27,3.8,7,0.38,1.4,0,Abacus
NOR2_8,0.57,2.8,0.57,1.4,0,Abacus
NOT_10,7.22,4.2,0.38,1.4,0,Abacus
AND2_29,15.2,1.4,0.76,1.4,0,Abacus
NOT_4,6.08,11.2,0.38,1.4,0,Abacus
DFF_14,4.56,12.6,3.23,1.4,0,Abacus
AND2_10,14.44,1.4,0.76,1.4,0,Abacus
NOT_14,0.38,9.8,0.38,1.4,0,Abacus
NOT_2,12.92,7,0.38,1.4,0,Abacus
