cell_name,x,y,width,height,fixed,algorithm
NOR2_3,1.52,0,0.57,1.4,0,GreedyTetris
NOR2_0,3.61,1.4,0.57,1.4,0,GreedyTetris
NAND2_0,0.95,0,0.57,1.4,0,GreedyTetris
OR2_1,2.85,0,0.76,1.4,0,GreedyTetris
NOR2_2,3.61,4.2,0.57,1.4,0,GreedyTetris
OR2_0,3.61,0,0.76,1.4,0,GreedyTetris
G0,4.37,0,0.38,1.4,0,GreedyTetris
NOT_0,4.56,4.2,0.38,1.4,0,GreedyTetris
NOR2_1,0.38,0,0.57,1.4,0,GreedyTetris
VDD,3.23,2.8,0.38,1.4,0,GreedyTetris
G3,0,0,0.38,1.4,0,GreedyTetris
AND2_0,2.09,0,0.76,1.4,0,GreedyTetris
G2,3.23,4.2,0.38,1.4,0,GreedyTetris
G17,4.18,1.4,0.38,1.4,0,GreedyTetris
DFF_0,0,2.8,3.23,1.4,0,GreedyTetris
DFF_1,0,4.2,3.23,1.4,0,GreedyTetris
DFF_2,0,1.4,3.23,1.4,0,GreedyTetris
CK,4.56,1.4,0.38,1.4,0,GreedyTetris
G1,3.23,1.4,0.38,1.4,0,GreedyTetris
NOT_1,4.18,4.2,0.38,1.4,0,GreedyTetris
