x,y,density
0.133897,0.142187,0
0.401692,0.142187,0
0.669486,0.142187,0
0.937281,0.142187,0
1.20508,0.142187,0
1.47287,0.142187,0.975427
1.74066,0.142187,1
2.00846,0.142187,0.964523
2.27625,0.142187,1
2.54405,0.142187,1.16491
2.81184,0.142187,1.02655
3.07964,0.142187,1.09444
3.34743,0.142187,1
3.61523,0.142187,1.40326
3.88302,0.142187,1
4.15081,0.142187,1
4.41861,0.142187,0.68552
4.6864,0.142187,0.671568
4.9542,0.142187,0.965018
5.22199,0.142187,1.16757
5.48979,0.142187,1.34286
5.75758,0.142187,0.939841
6.02538,0.142187,0.898074
6.29317,0.142187,0.898074
6.56096,0.142187,1.47902
6.82876,0.142187,1.16551
7.09655,0.142187,1
7.36435,0.142187,1.62538
7.63214,0.142187,1.71583
7.89994,0.142187,1
8.16773,0.142187,1
8.43553,0.142187,1
8.70332,0.142187,1.45867
8.97111,0.142187,1.87949
9.23891,0.142187,1
9.5067,0.142187,1
9.7745,0.142187,1
10.0423,0.142187,1.06802
10.3101,0.142187,1.5645
10.5779,0.142187,1
10.8457,0.142187,1.72901
11.1135,0.142187,1
11.3813,0.142187,1.43575
11.6491,0.142187,1.06402
11.9169,0.142187,1.42553
12.1846,0.142187,1.39572
12.4524,0.142187,0.395116
12.7202,0.142187,2
12.988,0.142187,1.10352
13.2558,0.142187,1.59672
13.5236,0.142187,1.43236
13.7914,0.142187,1.29014
14.0592,0.142187,1.28493
14.327,0.142187,1.027
14.5948,0.142187,1.5397
14.8626,0.142187,1.35048
15.1304,0.142187,1
15.3982,0.142187,0.170017
15.666,0.142187,0
15.9338,0.142187,0
16.2016,0.142187,0
16.4694,0.142187,3.37859
16.7372,0.142187,4
17.0049,0.142187,3.9734
0.133897,0.426562,0
0.401692,0.426562,0
0.669486,0.426562,0
0.937281,0.426562,0
1.20508,0.426562,0
1.47287,0.426562,0.975427
1.74066,0.426562,1
2.00846,0.426562,0.964523
2.27625,0.426562,1
2.54405,0.426562,1.16491
2.81184,0.426562,1.02655
3.07964,0.426562,1.09444
3.34743,0.426562,1
3.61523,0.426562,1.40326
3.88302,0.426562,1
4.15081,0.426562,1
4.41861,0.426562,1.21515
4.6864,0.426562,1.11894
4.9542,0.426562,1
5.22199,0.426562,1.20255
5.48979,0.426562,1.35529
5.75758,0.426562,0.941418
6.02538,0.426562,1
6.29317,0.426562,1
6.56096,0.426562,1.71667
6.82876,0.426562,1.2558
7.09655,0.426562,1
7.36435,0.426562,1.66166
7.63214,0.426562,1.75734
7.89994,0.426562,1
8.16773,0.426562,1
8.43553,0.426562,1
8.70332,0.426562,1.48638
8.97111,0.426562,1.93262
9.23891,0.426562,1
9.5067,0.426562,1
9.7745,0.426562,1
10.0423,0.426562,1.06802
10.3101,0.426562,1.5645
10.5779,0.426562,1
10.8457,0.426562,1.72901
11.1135,0.426562,1
11.3813,0.426562,1.43575
11.6491,0.426562,1.06402
11.9169,0.426562,1.42553
12.1846,0.426562,1.39572
12.4524,0.426562,0.395116
12.7202,0.426562,2
12.988,0.426562,1.10352
13.2558,0.426562,1.59672
13.5236,0.426562,1.43236
13.7914,0.426562,1.29014
14.0592,0.426562,1.28493
14.327,0.426562,1.027
14.5948,0.426562,1.5397
14.8626,0.426562,1.35048
15.1304,0.426562,1
15.3982,0.426562,0.170017
15.666,0.426562,0
15.9338,0.426562,0
16.2016,0.426562,0
16.4694,0.426562,3.37859
