x,y,density
0.133897,0.142187,39
0.401692,0.142187,32.609
0.669486,0.142187,17.0169
0.937281,0.142187,4
1.20508,0.142187,4
1.47287,0.142187,4
1.74066,0.142187,4
2.00846,0.142187,4.13237
2.27625,0.142187,5
2.54405,0.142187,5
2.81184,0.142187,5
3.07964,0.142187,5
3.34743,0.142187,1.24596
3.61523,0.142187,1
3.88302,0.142187,1
4.15081,0.142187,1
4.41861,0.142187,1
4.6864,0.142187,1
4.9542,0.142187,1
5.22199,0.142187,0.929121
5.48979,0.142187,0
5.75758,0.142187,0
6.02538,0.142187,0.711098
6.29317,0.142187,0.707901
6.56096,0.142187,0
6.82876,0.142187,0
7.09655,0.142187,0
7.36435,0.142187,0
7.63214,0.142187,0.929523
7.89994,0.142187,1
8.16773,0.142187,0.908474
8.43553,0.142187,0
8.70332,0.142187,0.991746
8.97111,0.142187,0.427253
9.23891,0.142187,0
9.5067,0.142187,0
9.7745,0.142187,0
10.0423,0.142187,0
10.3101,0.142187,0
10.5779,0.142187,0
10.8457,0.142187,0
11.1135,0.142187,0
11.3813,0.142187,0
11.6491,0.142187,0
11.9169,0.142187,0
12.1846,0.142187,0
12.4524,0.142187,0
12.7202,0.142187,0
12.988,0.142187,0
13.2558,0.142187,0
13.5236,0.142187,0
13.7914,0.142187,0.122979
14.0592,0.142187,2
14.327,0.142187,2
14.5948,0.142187,2
14.8626,0.142187,2
15.1304,0.142187,2
15.3982,0.142187,2
15.666,0.142187,2
15.9338,0.142187,2
16.2016,0.142187,2
16.4694,0.142187,16.6259
16.7372,0.142187,40.542
17.0049,0.142187,51
0.133897,0.426562,39
0.401692,0.426562,32.609
0.669486,0.426562,17.0169
0.937281,0.426562,4
1.20508,0.426562,4
1.47287,0.426562,4
1.74066,0.426562,4
2.00846,0.426562,4.13237
2.27625,0.426562,5
2.54405,0.426562,5
2.81184,0.426562,5
3.07964,0.426562,5
3.34743,0.426562,1.24596
3.61523,0.426562,1
3.88302,0.426562,1
4.15081,0.426562,1
4.41861,0.426562,1
4.6864,0.426562,1
4.9542,0.426562,1
5.22199,0.426562,0.929121
5.48979,0.426562,0
5.75758,0.426562,0
6.02538,0.426562,0.711098
6.29317,0.426562,0.707901
6.56096,0.426562,0
6.82876,0.426562,0
7.09655,0.426562,0
7.36435,0.426562,0
7.63214,0.426562,0.929523
7.89994,0.426562,1
8.16773,0.426562,0.908474
8.43553,0.426562,0
8.70332,0.426562,0.991746
8.97111,0.426562,0.427253
9.23891,0.426562,0
9.5067,0.426562,0
9.7745,0.426562,0
10.0423,0.426562,0
10.3101,0.426562,0
10.5779,0.426562,0
10.8457,0.426562,0
11.1135,0.426562,0
11.3813,0.426562,0
11.6491,0.426562,0
11.9169,0.426562,0
12.1846,0.426562,0
12.4524,0.426562,0
12.7202,0.426562,0
12.988,0.426562,0
13.2558,0.426562,0
13.5236,0.426562,0
13.7914,0.426562,0.122979
14.0592,0.426562,2
14.327,0.426562,2
14.5948,0.426562,2
14.8626,0.426562,2
15.1304,0.426562,2
15.3982,0.426562,2
15.666,0.426562,2
15.9338,0.426562,2
16.2016,0.426562,2
16.4694,0.426562,16.6259
16.7372,0.426562,40.542
17.0049,0.426562,51
0.133897,0.710938,39
0.401692,0.710938,32.609
0.669486,0.710938,17.0169
0.937281,0.710938,4
1.20508,0.710938,4
1.47287,0.710938,4
1.74066,0.710938,4
2.00846,0.710938,4.13237
2.27625,0.710938,5
2.54405,0.710938,5
2.81184,0.710938,5
3.07964,0.710938,5
3.34743,0.710938,1.24596
3.61523,0.710938,1
3.88302,0.710938,1
4.15081,0.710938,1
4.41861,0.710938,1
4.6864,0.710938,1
4.9542,0.710938,1
5.22199,0.710938,0.929121
5.48979,0.710938,0
5.75758,0.710938,0
6.02538,0.710938,0.711098
6.29317,0.710938,0.707901
6.56096,0.710938,0
6.82876,0.710938,0
7.09655,0.710938,0
7.36435,0.710938,0
7.63214,0.710938,0.929523
7.89994,0.710938,1
8.16773,0.710938,0.908474
8.43553,0.710938,0
8.70332,0.710938,0.991746
8.97111,0.710938,0.427253
9.23891,0.710938,0
9.5067,0.710938,0
9.7745,0.710938,0
10.0423,0.710938,0
10.3101,0.710938,0
10.5779,0.710938,0
10.8457,0.710938,0
11.1135,0.710938,0
11.3813,0.710938,0
11.6491,0.710938,0
11.9169,0.710938,0
12.1846,0.710938,0
12.4524,0.710938,0
12.7202,0.710938,0
12.988,0.710938,0
13.2558,0.710938,0
13.5236,0.710938,0
13.7914,0.710938,0.122979
14.0592,0.710938,2
14.327,0.710938,2
14.5948,0.710938,2
14.8626,0.710938,2
15.1304,0.710938,2
15.3982,0.710938,2
15.666,0.710938,2
15.9338,0.710938,2
16.2016,0.710938,2
16.4694,0.710938,16.6259
16.7372,0.710938,40.542
17.0049,0.710938,51
0.133897,0.995312,39
0.401692,0.995312,32.609
0.669486,0.995312,17.0169
0.937281,0.995312,4
1.20508,0.995312,4
1.47287,0.995312,4
1.74066,0.995312,4
2.00846,0.995312,4.13237
2.27625,0.995312,5
2.54405,0.995312,5
2.81184,0.995312,5
3.07964,0.995312,5
3.34743,0.995312,1.24596
3.61523,0.995312,1
3.88302,0.995312,1
4.15081,0.995312,1
4.41861,0.995312,1
4.6864,0.995312,1
4.9542,0.995312,1
5.22199,0.995312,0.929121
5.48979,0.995312,0
5.75758,0.995312,0
6.02538,0.995312,0.711098
6.29317,0.995312,0.707901
6.56096,0.995312,0
6.82876,0.995312,0
7.09655,0.995312,0
7.36435,0.995312,0
7.63214,0.995312,0.929523
7.89994,0.995312,1
8.16773,0.995312,0.908474
8.43553,0.995312,0
8.70332,0.995312,0.991746
8.97111,0.995312,0.427253
9.23891,0.995312,0
9.5067,0.995312,0
9.7745,0.995312,0
10.0423,0.995312,0
10.3101,0.995312,0
10.5779,0.995312,0
10.8457,0.995312,0
11.1135,0.995312,0
11.3813,0.995312,0
11.6491,0.995312,0
11.9169,0.995312,0
12.1846,0.995312,0
12.4524,0.995312,0
12.7202,0.995312,0
12.988,0.995312,0
13.2558,0.995312,0
13.5236,0.995312,0
13.7914,0.995312,0.122979
14.0592,0.995312,2
14.327,0.995312,2
14.5948,0.995312,2
14.8626,0.995312,2
15.1304,0.995312,2
15.3982,0.995312,2
15.666,0.995312,2
15.9338,0.995312,2
16.2016,0.995312,2
16.4694,0.995312,16.6259
16.7372,0.995312,40.542
17.0049,0.995312,51
0.133897,1.27969,36
0.401692,1.27969,30.1006
0.669486,1.27969,15.708
0.937281,1.27969,3.69231
1.20508,1.27969,3.69231
1.47287,1.27969,3.69231
1.74066,1.27969,3.69231
2.00846,1.27969,3.81449
2.27625,1.27969,4.61538
2.54405,1.27969,4.61538
2.81184,1.27969,4.61538
3.07964,1.27969,4.61538
3.34743,1.27969,1.15012
3.61523,1.27969,0.923077
3.88302,1.27969,0.923077
4.15081,1.27969,0.923077
4.41861,1.27969,0.923077
4.6864,1.27969,0.923077
4.9542,1.27969,0.923077
5.22199,1.27969,0.85765
5.48979,1.27969,0
5.75758,1.27969,0
