# Net_ID Start_X Start_Y Start_Layer End_X End_Y End_Layer
68 191 1 68 191 0 -2140086164
68 191 0 69 191 0 -2140086164
69 191 0 70 191 0 -2140086164
70 191 0 71 191 0 -2140086164
71 191 0 72 191 0 -2140086164
72 191 0 73 191 0 -2140086164
73 191 0 74 191 0 -2140086164
74 191 0 75 191 0 -2140086164
75 191 0 76 191 0 -2140086164
76 191 0 77 191 0 -2140086164
77 191 0 78 191 0 -2140086164
78 191 0 79 191 0 -2140086164
79 191 0 80 191 0 -2140086164
80 191 0 81 191 0 -2140086164
81 191 0 82 191 0 -2140086164
82 191 0 83 191 0 -2140086164
83 191 0 84 191 0 -2140086164
84 191 0 85 191 0 -2140086164
85 191 0 86 191 0 -2140086164
86 191 0 87 191 0 -2140086164
87 191 0 88 191 0 -2140086164
88 191 0 89 191 0 -2140086164
89 191 0 90 191 0 -2140086164
90 191 0 91 191 0 -2140086164
91 191 0 92 191 0 -2140086164
92 191 0 93 191 0 -2140086164
93 191 0 94 191 0 -2140086164
94 191 0 95 191 0 -2140086164
95 191 0 96 191 0 -2140086164
96 191 0 97 191 0 -2140086164
97 191 0 98 191 0 -2140086164
98 191 0 99 191 0 -2140086164
99 191 0 100 191 0 -2140086164
100 191 0 101 191 0 -2140086164
101 191 0 102 191 0 -2140086164
102 191 0 103 191 0 -2140086164
103 191 0 104 191 0 -2140086164
104 191 0 105 191 0 -2140086164
105 191 0 106 191 0 -2140086164
106 191 0 107 191 0 -2140086164
107 191 0 108 191 0 -2140086164
108 191 0 109 191 0 -2140086164
109 191 0 110 191 0 -2140086164
110 191 0 111 191 0 -2140086164
111 191 0 112 191 0 -2140086164
112 191 0 113 191 0 -2140086164
113 191 0 114 191 0 -2140086164
114 191 0 115 191 0 -2140086164
115 191 0 116 191 0 -2140086164
116 191 0 117 191 0 -2140086164
117 191 0 118 191 0 -2140086164
118 191 0 119 191 0 -2140086164
119 191 0 120 191 0 -2140086164
120 191 0 121 191 0 -2140086164
121 191 0 122 191 0 -2140086164
122 191 0 123 191 0 -2140086164
123 191 0 124 191 0 -2140086164
124 191 0 125 191 0 -2140086164
125 191 0 126 191 0 -2140086164
126 191 0 127 191 0 -2140086164
127 191 0 128 191 0 -2140086164
128 191 0 129 191 0 -2140086164
129 191 0 130 191 0 -2140086164
130 191 0 131 191 0 -2140086164
131 191 0 132 191 0 -2140086164
132 191 0 133 191 0 -2140086164
133 191 0 134 191 0 -2140086164
134 191 0 135 191 0 -2140086164
135 191 0 136 191 0 -2140086164
136 191 0 137 191 0 -2140086164
137 191 0 138 191 0 -2140086164
138 191 0 139 191 0 -2140086164
139 191 0 140 191 0 -2140086164
140 191 0 141 191 0 -2140086164
141 191 0 142 191 0 -2140086164
142 191 0 143 191 0 -2140086164
143 191 0 144 191 0 -2140086164
144 191 0 145 191 0 -2140086164
145 191 0 146 191 0 -2140086164
146 191 0 147 191 0 -2140086164
147 191 0 148 191 0 -2140086164
148 191 0 149 191 0 -2140086164
149 191 0 150 191 0 -2140086164
150 191 0 151 191 0 -2140086164
151 191 0 152 191 0 -2140086164
152 191 0 153 191 0 -2140086164
153 191 0 154 191 0 -2140086164
154 191 0 155 191 0 -2140086164
155 191 0 156 191 0 -2140086164
156 191 0 157 191 0 -2140086164
157 191 0 158 191 0 -2140086164
158 191 0 159 191 0 -2140086164
159 191 0 160 191 0 -2140086164
160 191 0 161 191 0 -2140086164
161 191 0 162 191 0 -2140086164
162 191 0 163 191 0 -2140086164
163 191 0 163 191 1 -2140086164
163 191 1 163 190 1 -2140086164
163 190 1 163 189 1 -2140086164
163 189 1 163 188 1 -2140086164
163 188 1 163 187 1 -2140086164
163 187 1 163 186 1 -2140086164
163 186 1 163 185 1 -2140086164
163 185 1 163 184 1 -2140086164
163 184 1 163 183 1 -2140086164
163 183 1 163 182 1 -2140086164
163 182 1 163 181 1 -2140086164
163 181 1 163 180 1 -2140086164
163 180 1 163 179 1 -2140086164
163 179 1 163 178 1 -2140086164
163 178 1 163 177 1 -2140086164
163 177 1 163 176 1 -2140086164
163 176 1 163 175 1 -2140086164
163 175 1 163 174 1 -2140086164
163 174 1 163 173 1 -2140086164
163 173 1 163 172 1 -2140086164
163 172 1 163 171 1 -2140086164
163 171 1 163 170 1 -2140086164
163 170 1 163 169 1 -2140086164
163 169 1 163 168 1 -2140086164
163 168 1 163 167 1 -2140086164
163 167 1 163 166 1 -2140086164
163 166 1 163 165 1 -2140086164
163 165 1 163 164 1 -2140086164
163 164 1 163 163 1 -2140086164
163 163 1 163 162 1 -2140086164
163 162 1 163 161 1 -2140086164
163 161 1 163 160 1 -2140086164
163 160 1 163 159 1 -2140086164
163 159 1 163 158 1 -2140086164
163 158 1 163 157 1 -2140086164
163 157 1 163 156 1 -2140086164
163 156 1 163 155 1 -2140086164
163 155 1 163 154 1 -2140086164
163 154 1 163 153 1 -2140086164
163 153 1 163 152 1 -2140086164
163 152 1 163 151 1 -2140086164
163 151 1 163 150 1 -2140086164
163 150 1 163 149 1 -2140086164
163 149 1 163 148 1 -2140086164
163 148 1 163 147 1 -2140086164
163 147 1 163 146 1 -2140086164
163 146 1 163 145 1 -2140086164
163 145 1 163 144 1 -2140086164
163 144 1 163 143 1 -2140086164
163 143 1 163 142 1 -2140086164
163 142 1 163 141 1 -2140086164
163 141 1 163 140 1 -2140086164
163 140 1 163 139 1 -2140086164
163 139 1 163 138 1 -2140086164
163 138 1 163 137 1 -2140086164
163 137 1 163 136 1 -2140086164
163 136 1 163 135 1 -2140086164
163 135 1 163 134 1 -2140086164
163 134 1 163 133 1 -2140086164
163 133 1 163 132 1 -2140086164
163 132 1 163 131 1 -2140086164
163 131 1 163 130 1 -2140086164
163 130 1 163 129 1 -2140086164
163 129 1 163 128 1 -2140086164
163 128 1 163 127 1 -2140086164
163 127 1 163 126 1 -2140086164
163 126 1 163 125 1 -2140086164
163 125 1 163 124 1 -2140086164
163 124 1 163 123 1 -2140086164
163 123 1 163 122 1 -2140086164
163 122 1 163 121 1 -2140086164
163 121 1 163 120 1 -2140086164
163 120 1 163 119 1 -2140086164
163 119 1 163 118 1 -2140086164
163 118 1 163 117 1 -2140086164
163 117 1 163 116 1 -2140086164
163 116 1 163 115 1 -2140086164
163 115 1 163 114 1 -2140086164
163 114 1 163 113 1 -2140086164
163 113 1 163 112 1 -2140086164
163 112 1 163 111 1 -2140086164
163 111 1 163 110 1 -2140086164
163 110 1 163 109 1 -2140086164
163 109 1 163 108 1 -2140086164
163 108 1 163 107 1 -2140086164
163 107 1 163 106 1 -2140086164
163 106 1 163 105 1 -2140086164
163 105 1 163 104 1 -2140086164
163 104 1 163 103 1 -2140086164
163 103 1 163 102 1 -2140086164
163 102 1 163 101 1 -2140086164
163 101 1 163 100 1 -2140086164
163 100 1 163 99 1 -2140086164
163 99 1 163 98 1 -2140086164
163 98 1 163 97 1 -2140086164
163 97 1 163 96 1 -2140086164
163 96 1 163 95 1 -2140086164
163 95 1 163 94 1 -2140086164
163 94 1 163 93 1 -2140086164
163 93 1 163 92 1 -2140086164
163 92 1 163 91 1 -2140086164
163 91 1 163 90 1 -2140086164
163 90 1 163 89 1 -2140086164
163 89 1 163 88 1 -2140086164
163 88 1 163 87 1 -2140086164
163 87 1 163 86 1 -2140086164
163 86 1 163 85 1 -2140086164
163 85 1 163 84 1 -2140086164
163 84 1 163 83 1 -2140086164
163 83 1 163 82 1 -2140086164
163 82 1 163 81 1 -2140086164
163 81 1 163 80 1 -2140086164
163 80 1 163 79 1 -2140086164
163 79 1 163 78 1 -2140086164
163 78 1 163 77 1 -2140086164
163 77 1 163 76 1 -2140086164
163 76 1 163 75 1 -2140086164
163 75 1 163 74 1 -2140086164
163 74 1 163 73 1 -2140086164
163 73 1 163 72 1 -2140086164
