# Enhanced routing data format for plot_routing.py
# Cell format: CELL x y width height cell_name
CELL 14 74 6 14 NOR2_29
CELL 12 0 6 15 NOR2_28
CELL 50 147 6 15 NOR2_20
CELL 152 44 6 15 NOR2_18
CELL 154 118 6 15 NOR2_15
CELL 150 15 6 14 NOR2_14
CELL 114 147 6 15 NOR2_12
CELL 6 0 6 15 NOR2_17
CELL 32 74 6 14 NOR2_7
CELL 176 15 5 14 NOR2_19
CELL 32 147 6 15 NOR2_4
CELL 68 0 6 15 NOR2_3
CELL 170 15 6 14 NOR2_25
CELL 80 15 6 14 NOR3_0
CELL 134 0 6 15 NAND2_17
CELL 108 74 6 14 NAND2_13
CELL 164 0 6 15 NAND2_11
CELL 170 118 6 15 NAND2_15
CELL 92 59 6 15 NAND2_10
CELL 112 44 6 15 NAND2_9
CELL 74 0 6 15 NAND2_8
CELL 0 0 6 15 NOR2_16
CELL 16 44 6 15 NAND2_5
CELL 156 147 6 15 NAND2_4
CELL 158 133 6 14 NAND2_2
CELL 26 0 6 15 NAND2_1
CELL 106 44 6 15 NAND3_0
CELL 128 147 8 15 OR2_6
CELL 60 59 8 15 OR3_2
CELL 6 74 8 14 OR2_2
CELL 12 59 8 15 OR2_1
CELL 174 103 7 15 OR2_0
CELL 98 44 8 15 AND2_40
CELL 118 44 8 15 AND2_39
CELL 140 147 8 15 AND2_38
CELL 86 147 8 15 OR2_3
CELL 168 133 8 14 AND2_37
CELL 0 133 6 14 NOR2_26
CELL 8 44 8 15 AND2_36
CELL 18 133 8 14 AND2_32
CELL 16 147 8 15 AND2_31
CELL 6 133 8 14 AND2_30
CELL 176 0 4 15 NOT_18
CELL 148 147 8 15 AND2_15
CELL 38 88 4 15 NOT_16
CELL 160 88 8 15 AND2_14
CELL 84 74 8 14 OR2_4
CELL 146 88 4 15 NOT_13
CELL 4 44 4 15 NOT_10
CELL 126 133 6 14 NAND2_12
CELL 88 0 4 15 NOT_12
CELL 72 15 8 14 AND2_6
CELL 148 118 6 15 NOR2_27
CELL 176 118 5 15 NOR2_2
CELL 98 147 4 15 NOT_8
CELL 20 59 6 15 NAND2_16
CELL 68 15 4 14 NOT_3
CELL 168 147 6 15 NOR2_22
CELL 24 118 4 15 NOT_11
CELL 32 88 4 15 NOT_29
CELL 150 88 4 15 NOT_6
CELL 110 59 4 15 NOT_19
CELL 46 74 4 14 NOT_2
CELL 28 74 4 14 NOT_5
CELL 102 147 4 15 NOT_0
CELL 28 118 34 15 DFF_11
CELL 162 147 6 15 NOR2_10
CELL 90 44 4 15 B2
CELL 92 0 8 15 OR2_5
CELL 22 88 4 15 P4
CELL 16 88 4 15 NOT_37
CELL 44 147 6 15 NOR2_9
