cell_name,x,y,width,height,fixed
VDD,9.27625,14.0039,0.38,1.4,0
CK,8.19011,11.8754,0.38,1.4,0
START,11.1966,5.6631,0.38,1.4,0
B0,14.4779,4.88876,0.38,1.4,0
B1,14.6879,7.40905,0.38,1.4,0
B2,6.52151,0.75229,0.38,1.4,0
B3,11.6275,15.2694,0.38,1.4,0
A0,5.4512,2.58011,0.38,1.4,0
A1,2.24286,0,0.38,1.4,0
A2,11.5102,14.6166,0.38,1.4,0
A3,6.38798,14.4858,0.38,1.4,0
CNTVCO2,3.85897,2.6315,0.38,1.4,0
CNTVCON2,0,8.88437,0.38,1.4,0
READY,12.2005,8.67616,0.38,1.4,0
P0,11.6053,8.52661,0.38,1.4,0
P1,5.17558,13.2487,0.38,1.4,0
P2,3.9369,10.8199,0.38,1.4,0
P3,10.4085,5.74634,0.38,1.4,0
P4,6.17816,8.69593,0.38,1.4,0
P5,10.3899,5.49093,0.38,1.4,0
P6,12.984,8.81824,0.38,1.4,0
P7,10.7108,3.90163,0.38,1.4,0
DFF_0,8.81729,9.79458,3.23,1.4,0
DFF_1,10.1789,7.04457,3.23,1.4,0
DFF_2,8.66332,12.6367,3.23,1.4,0
DFF_3,4.87804,5.99222,3.23,1.4,0
DFF_4,2.57822,9.84945,3.23,1.4,0
DFF_5,4.1506,4.21881,3.23,1.4,0
DFF_6,5.65651,13.5766,3.23,1.4,0
DFF_7,7.69108,7.92301,3.23,1.4,0
DFF_8,1.81096,13.0074,3.23,1.4,0
DFF_9,4.6781,11.7616,3.23,1.4,0
DFF_10,8.14802,0,3.23,1.4,0
DFF_11,0.454581,8.73321,3.23,1.4,0
DFF_12,5.94218,9.86988,3.23,1.4,0
DFF_13,1.81574,7.03791,3.23,1.4,0
DFF_14,4.75363,7.56254,3.23,1.4,0
NOT_0,9.82482,11.2678,0.38,1.4,0
NOT_1,7.72929,14.8203,0.38,1.4,0
NOT_2,7.23459,5.00238,0.38,1.4,0
NOT_3,8.90045,4.84947,0.38,1.4,0
NOT_4,2.64451,0,0.38,1.4,0
NOT_5,5.01658,8.73129,0.38,1.4,0
NOT_6,13.9821,11.5589,0.38,1.4,0
NOT_7,12.081,12.5068,0.38,1.4,0
NOT_8,13.2879,16.7289,0.38,1.4,0
NOT_9,14.4837,0.131214,0.38,1.4,0
NOT_10,0,0,0.38,1.4,0
NOT_11,13.227,11.4482,0.38,1.4,0
NOT_12,5.9494,0,0.38,1.4,0
NOT_13,13.5497,9.78121,0.38,1.4,0
NOT_14,12.7224,10.1712,0.38,1.4,0
NOT_15,15.7404,12.1181,0.38,1.4,0
NOT_16,0,5.40448,0.38,1.4,0
NOT_17,7.28518,15.2446,0.38,1.4,0
NOT_18,9.3591,0,0.38,1.4,0
NOT_19,9.21907,4.29082,0.38,1.4,0
NOT_20,11.9306,11.4306,0.38,1.4,0
NOT_21,13.1339,8.01945,0.38,1.4,0
NOT_22,15.0447,9.7768,0.38,1.4,0
NOT_23,13.1816,10.8547,0.38,1.4,0
NOT_24,3.94626,2.99097,0.38,1.4,0
NOT_25,12.3886,3.16039,0.38,1.4,0
NOT_26,0,13.2853,0.38,1.4,0
NOT_27,12.5779,15.968,0.38,1.4,0
NOT_28,0,4.1483,0.38,1.4,0
NOT_29,2.73287,4.64398,0.38,1.4,0
NOT_30,10.2642,15.4714,0.38,1.4,0
NOT_31,6.99585,0,0.38,1.4,0
NOT_32,14.4818,16.7882,0.38,1.4,0
NOT_33,9.62836,11.1156,0.38,1.4,0
NOT_34,10.6363,11.163,0.38,1.4,0
NOT_35,2.85332,3.48868,0.38,1.4,0
NOT_36,12.0381,0.115005,0.38,1.4,0
NOT_37,0,5.97973,0.38,1.4,0
NOT_38,1.03993,14.1737,0.38,1.4,0
NOT_39,10.2914,14.874,0.38,1.4,0
NOT_40,1.55527,2.11568,0.38,1.4,0
NOT_41,8.29029,3.2756,0.38,1.4,0
NOT_42,15.9576,5.81836,0.38,1.4,0
NOT_43,13.4322,5.80398,0.38,1.4,0
NOT_44,2.44941,16.0905,0.38,1.4,0
NOT_45,13.8458,4.79646,0.38,1.4,0
NOT_46,0,14.162,0.38,1.4,0
NOT_47,7.75105,11.1669,0.38,1.4,0
NOT_48,5.97591,14.6272,0.38,1.4,0
NOT_49,14.7592,6.67155,0.38,1.4,0
NOT_50,10.5333,13.9829,0.38,1.4,0
NOT_51,0,7.17112,0.38,1.4,0
NOT_52,1.34171,0,0.38,1.4,0
NOT_53,13.0757,14.6803,0.38,1.4,0
NOT_54,4.13983,3.38303,0.38,1.4,0
NOT_55,11.9729,3.80773,0.38,1.4,0
NOT_56,7.11518,8.53162,0.38,1.4,0
AND3_0,11.8451,10.1133,0.76,1.4,0
AND2_0,3.86225,16.29,0.76,1.4,0
AND2_1,11.8657,0,0.76,1.4,0
AND2_2,13.4445,0.443988,0.76,1.4,0
AND3_1,4.71222,0,0.76,1.4,0
AND2_3,3.02981,0,0.76,1.4,0
AND2_4,8.03009,4.15686,0.76,1.4,0
AND2_5,10.9959,11.3227,0.76,1.4,0
AND3_2,7.35188,0,0.76,1.4,0
AND2_6,11.1008,0,0.76,1.4,0
AND2_7,13.9153,13.5509,0.76,1.4,0
AND2_8,13.8981,10.5134,0.76,1.4,0
AND2_9,0,16.8,0.76,1.4,0
AND2_10,0,11.5174,0.76,1.4,0
AND2_11,0,1.27427,0.76,1.4,0
AND2_12,3.63164,5.29593,0.76,1.4,0
AND2_13,15.4387,5.54168,0.76,1.4,0
AND2_14,11.7599,5.04958,0.76,1.4,0
AND2_15,15.7205,16.8,0.76,1.4,0
AND2_16,12.8437,13.4846,0.76,1.4,0
AND2_17,5.38747,15.2727,0.76,1.4,0
AND2_18,0.0705551,12.6526,0.76,1.4,0
AND2_19,0,13.9441,0.76,1.4,0
AND2_20,0,11.4253,0.76,1.4,0
AND2_21,12.5323,0,0.76,1.4,0
AND2_22,10.5359,2.77568,0.76,1.4,0
AND2_23,14.527,3.77737,0.76,1.4,0
AND2_24,13.8015,6.66251,0.76,1.4,0
AND2_25,0.0935955,0,0.76,1.4,0
AND2_26,0.771674,3.82967,0.76,1.4,0
AND2_27,15.4788,4.11858,0.76,1.4,0
AND2_28,11.6144,13.7556,0.76,1.4,0
AND2_29,0,15.3793,0.76,1.4,0
AND2_30,2.64831,15.1495,0.76,1.4,0
AND2_31,0,15.4714,0.76,1.4,0
AND2_32,0,10.1231,0.76,1.4,0
AND2_33,16.0817,0,0.76,1.4,0
AND2_34,14.6264,5.76392,0.76,1.4,0
AND2_35,0,2.66069,0.76,1.4,0
AND2_36,0.632092,4.90051,0.76,1.4,0
AND2_37,15.0155,16.8,0.76,1.4,0
AND2_38,11.6629,16.2304,0.76,1.4,0
AND2_39,5.10282,0,0.76,1.4,0
AND2_40,4.24746,0,0.76,1.4,0
OR2_0,14.5497,8.7466,0.76,1.4,0
OR2_1,1.8011,4.27813,0.76,1.4,0
OR2_2,0.0352398,7.14857,0.76,1.4,0
OR3_0,12.827,2.93756,0.76,1.4,0
OR2_3,12.42,12.4722,0.76,1.4,0
OR3_1,14.2141,12.2463,0.76,1.4,0
OR2_4,12.5149,5.79151,0.76,1.4,0
OR3_2,9.38528,6.35206,0.76,1.4,0
OR2_5,8.28109,0,0.76,1.4,0
OR2_6,8.72882,15.4357,0.76,1.4,0
NAND3_0,11.3629,3.30096,0.57,1.4,0
